,country,total
0,CANADA,"20,650"
1,ESTADOS UNIDOS,"1,240,000"
2,MEXICO,18000
3,ARGENTINA,38500
4,BOLIVIA,15091
5,CHILE,3938
6,COLOMBIA,2215
7,EQUADOR,900
8,GUIANA,2307
9,GUIANA FRANCESA,20000
10,PARAGUAI,487517
11,PERU,3104
12,SURINAME,8000
13,URUGUAI,18848
14,VENEZUELA,11288
15,BAHAMAS ,80
16,BARBADOS,41
17,BELIZE,35
18,COSTA RICA,2002
19,CUBA,1000
20,EL SALVADOR,353
21,GUATEMALA,431
22,HAITI,35
23,HONDURAS,450
24,JAMAICA,244
25,NICARAGUA,182
26,PANAMA,800
27,REPUBLICA DOMINICANA,750
28,TRINIDAD E TOBAGO,208
29,ALEMANHA,46209
30,AUSTRIA,1400
31,BELGICA,43638
32,BULGARIA,60
33,CROACIA,180
34,DINAMARCA,2500
35,ESPANHA,110000
36,FINLANDIA,510
37,FRANCA,30000
38,GRECIA,4750
39,PAISES BAIXOS,16399
40,HUNGRIA,200
41,IRLANDA,17000
42,ITALIA,132000
43,NORUEGA,2160
44,POLONIA,1500
45,PORTUGAL,147500
46,INGLATERRA,150000
47,CHECOSLOVAQUIA,135
48,ROMENIA,110
49,RUSSIA,180
50,SERVIA,63
51,SUECIA,5000
52,SUICA,55000
53,UCRANIA,86
54,VATICANO,14
55,AFRICA DO SUL,1700
56,ANGOLA,10000
57,ARGELIA,26
58,BENIN,11
59,BOTSWANA,23
60,CABO VERDE,100
61,CAMAROES,53
62,COSTA DO MARFIM,90
63,EGITO,200
64,ETIOPIA,32
65,GABAO,37
66,GANA,50
67,GUINE,35
68,GUINE BISSAU,217
69,GUINE EQUATORIAL,0
70,LIBIA,205
71,MARROCOS,100
72,MOCAMBIQUE,1500
73,NAMIBIA,45
74,NIGERIA,270
75,KENIA,105
76,REPUBLICA DEMOCRATICA DO CONGO,93
77,SAO TOME E PRINCIPE,20
78,SENEGAL,205
79,SUDAO,35
80,TANZANIA,24
81,TOGO,20
82,TUNISIA,47
83,ZAMBIA,74
84,ZIMBABUE,6
85,ARABIA SAUDITA,400
86,ARMENIA,35
87,CATAR,220
88,EMIRADOS ARABES,718
89,IRA,80
90,IRAQUE,10
91,ISRAEL,15000
92,JORDANIA,1120
93,KUWAIT,250
94,LIBANO,9433
95,SIRIA,2800
96,TURQUIA,275
97,CAZAQUISTAO,20
98,CHINA,4600
99,CINGAPURA,600
100,COREIA,350
101,TAIWAN,1000
102,FILIPINAS,512
103,INDIA,506
104,INDONESIA,200
105,JAPAO,310000
106,MALASIA,100
107,PAQUISTAO,17
108,TAILANDIA,125
109,TIMOR LESTE,195
110,VIETNA,60
111,AUSTRALIA,12000
112,NOVA ZELANDIA,5250
